"","Assemblage","Order.q","SC","m","Method","qTD","s.e.","qTD.LCL","qTD.UCL"
"1","96191",0,0.95,2.99992424816297,"Rarefaction",1,0,1,1
"2","156870",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"3","158085",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"4","159207",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"5","159390",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"6","159398",0,0.95,4.7369655941662,"Extrapolation",2.23333333333333,1.32626681835496,0,4.83276853119958
"7","160595",0,0.95,1.23613408446114,"Rarefaction",1,0,1,1
"8","165363",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"9","165469",0,0.95,3.99993974725793,"Rarefaction",1,0,1,1
"10","166576",0,0.95,3.99993974725793,"Rarefaction",1,0,1,1
"11","166577",0,0.95,1.23613408446114,"Rarefaction",1,0,1,1
"12","166684",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"13","171534",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"14","172627",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"15","173955",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"16","181243",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"17","182459",0,0.95,1.23613408446114,"Rarefaction",1,0,1,1
"18","183673",0,0.95,5.99994714508975,"Rarefaction",1,0,1,1
"19","184888",0,0.95,2.99992424816297,"Rarefaction",1,0,1,1
"20","188605",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"21","190952",0,0.95,4.99992197131667,"Rarefaction",1,0,1,1
"22","192160",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"23","194630",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"24","198232",0,0.95,6.74997901451496,"Rarefaction",1.91666526763433,0.390835015151017,1.15064271404117,2.68268782122749
"25","198233",0,0.95,4.03927803779349,"Rarefaction",1.92509118142531,0.0221184682232351,1.88173978031457,1.96844258253604
"26","199443",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"27","199446",0,0.95,4.28857092777061,"Rarefaction",1.91382728582375,0.0220202027949497,1.87066848141338,1.95698609023412
"28","199447",0,0.95,4.53480621663279,"Rarefaction",1.88953810051555,0.0159371394634261,1.85830188115064,1.92077431988046
"29","201891",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"30","205523",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"31","205537",0,0.95,1.23613408446114,"Rarefaction",1,0,1,1
"32","207968",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"33","209201",0,0.95,1.23613408446114,"Rarefaction",1,0,1,1
"34","209266",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"35","211623",0,0.95,3.99993974725793,"Rarefaction",1,0,1,1
"36","214031",0,0.95,2.99992424816297,"Rarefaction",1,0,1,1
"37","216592",0,0.95,5.34759167163122,"Rarefaction",1.38197083368795,0.339574600020525,0.716416847583123,2.04752481979277
"38","217743",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"39","218893",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"40","222600",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"41","222828",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"42","223769",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"43","223781",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"44","223885",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"45","224995",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"46","225100",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"47","225101",0,0.95,1.23613408446114,"Rarefaction",1,0,1,1
"48","225111",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"49","226230",0,0.95,5.99994714508975,"Rarefaction",1,0,1,1
"50","226315",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"51","227411",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"52","227412",0,0.95,3.99993974725793,"Rarefaction",1,0,1,1
"53","227528",0,0.95,3.99993974725793,"Rarefaction",1,0,1,1
"54","228640",0,0.95,2.99992424816297,"Rarefaction",1,0,1,1
"55","229826",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"56","229840",0,0.95,1.23613408446114,"Rarefaction",1,0,1,1
"57","232289",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"58","232295",0,0.95,5.99994714508975,"Rarefaction",1,0,1,1
"59","232297",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"60","232310",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"61","232311",0,0.95,1.23613408446114,"Rarefaction",1,0,1,1
"62","232313",0,0.95,2.99992424816297,"Rarefaction",1,0,1,1
"63","232366",0,0.95,3.99993974725793,"Rarefaction",1,0,1,1
"64","232375",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"65","232395",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"66","233480",0,0.95,2.99992424816297,"Rarefaction",1,0,1,1
"67","233544",0,0.95,4.99992197131667,"Rarefaction",1,0,1,1
"68","233545",0,0.95,1.23613408446114,"Rarefaction",1,0,1,1
"69","234668",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"70","234725",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"71","234738",0,0.95,2.99992424816297,"Rarefaction",1,0,1,1
"72","234739",0,0.95,7.99992284099457,"Rarefaction",1,0,1,1
"73","234740",0,0.95,29.9999316946112,"Rarefaction",1,0,1,1
"74","234742",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"75","234811",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"76","234867",0,0.95,4.99992197131667,"Rarefaction",1,0,1,1
"77","235952",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"78","235953",0,0.95,1.23613408446114,"Rarefaction",1,0,1,1
"79","237236",0,0.95,4.99992197131667,"Rarefaction",1,0,1,1
"80","237237",0,0.95,2.99992424816297,"Rarefaction",1,0,1,1
"81","238433",0,0.95,1.23613408446114,"Rarefaction",1,0,1,1
"82","238440",0,0.95,1.23613408446114,"Rarefaction",1,0,1,1
"83","238442",0,0.95,1.23613408446114,"Rarefaction",1,0,1,1
"84","238448",0,0.95,1.23613408446114,"Rarefaction",1,0,1,1
"85","238451",0,0.95,4.7369655941662,"Extrapolation",2.23333333333333,1.16000180819313,0,4.50689509939321
"86","239544",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"87","239664",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"88","239665",0,0.95,6.99993248587025,"Rarefaction",1,0,1,1
"89","239669",0,0.95,4.99992197131667,"Rarefaction",1,0,1,1
"90","239722",0,0.95,1.23613408446114,"Rarefaction",1,0,1,1
"91","240848",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"92","240868",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"93","240877",0,0.95,3.79999018802601,"Rarefaction",1.9499975470065,0.462226525477042,1.04405020437241,2.85594488964059
"94","240886",0,0.95,11.9999284696682,"Rarefaction",1,0,1,1
"95","240940",0,0.95,1.23613408446114,"Rarefaction",1,0,1,1
"96","241950",0,0.95,19.9999263197062,"Rarefaction",1,0,1,1
"97","242041",0,0.95,3.99993974725793,"Rarefaction",1,0,1,1
"98","242092",0,0.95,11.9999284696682,"Rarefaction",1,0,1,1
"99","242138",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"100","242139",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"101","242153",0,0.95,3.99993974725793,"Rarefaction",1,0,1,1
"102","243263",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"103","243416",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"104","244461",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"105","244476",0,0.95,2.99992424816297,"Rarefaction",1,0,1,1
"106","245665",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
"107","245730",0,0.95,0.950016606138402,"Rarefaction",0.950016606138402,0,0.950016606138402,0.950016606138402
